"id_persona_pr","nme_genero_pr","id_niv_form_pr","id_clas_pr","edad_anos_pr","nme_region_gr","nme_area_gr","Actividades","LugarActualTrabajo","cant_libros","cant_lineas","cant_tgs","cant_art"
2554,"masculino","3","ij",44,"region pacifico","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
2560,"masculino","2","ij",57,"region pacifico","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
2604,"femenino","3","ij",33,"region caribe","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
2607,"femenino","3","ij",30,"region pacifico","psicologia","Actividades de administración","Universidad","No especificado","3 líneas","15 o menos","15 o menos"
2771,"femenino","4","ij",60,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
2780,"femenino","5","is",56,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","2 libros","3 líneas","Más de 45","Más de 45"
2801,"masculino","4","is",53,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","1 libro","3 líneas","Entre 31 y 45","Entre 31 y 45"
2882,"masculino","3","i",38,"centro oriente","ingenieria medica","Actividades de docencia","Universidad","2 libros","3 líneas","Entre 31 y 45","Entre 16 y 30"
2895,"masculino","4","is",43,"region caribe","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","Más de 45","Más de 45"
2955,"femenino","d","ij",29,"region eje cafetero","medicina clinica","Actividades de administración","Hospital / Clínica","No especificado","2 líneas","No especificado","Entre 31 y 45"
3060,"femenino","3","ij",57,"region caribe","medicina clinica","Actividades de administración","Universidad","2 libros","No especificado","Entre 16 y 30","15 o menos"
3075,"femenino","3","ij",32,"region caribe","biotecnologia en salud","Actividades de administración","Universidad","No especificado","2 líneas","Entre 16 y 30","15 o menos"
3508,"masculino","3","i",34,"region caribe","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","Más de 45","Entre 16 y 30"
3549,"masculino","2","ij",70,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
3739,"masculino","3","ij",41,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
3752,"masculino","d","ij",55,"region caribe","medicina clinica","No especificado","Universidad","1 libro","2 líneas","Entre 31 y 45","Entre 16 y 30"
3863,"femenino","3","ij",60,"region caribe","ciencias de la salud","No especificado","Universidad","3 o más libros","1 línea","Entre 31 y 45","15 o menos"
3882,"femenino","3","i",66,"region caribe","ciencias de la salud","Actividades de administración","Hospital / Clínica","3 o más libros","1 línea","15 o menos","15 o menos"
3912,"masculino","4","ij",71,"region eje cafetero","ciencias de la salud","Actividades de investigación","Otras IE","3 o más libros","2 líneas","Entre 16 y 30","15 o menos"
3917,"femenino","4","ij",63,"region eje cafetero","ciencias de la salud","Actividades de investigación","Otras IE","3 o más libros","2 líneas","15 o menos","15 o menos"
3925,"masculino","3","ij",32,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
4045,"femenino","3","i",41,"region caribe","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
4194,"femenino","4","ij",45,"region eje cafetero","ciencias de la salud","No especificado","No especificado","No especificado","1 línea","15 o menos","Entre 31 y 45"
4199,"masculino","d","ij",56,"centro oriente","medicina clinica","Actividades de administración","Universidad","No especificado","4 o más líneas","15 o menos","Entre 16 y 30"
4204,"masculino","3","i",33,"region caribe","ciencias de la salud","Actividades de docencia","Universidad","No especificado","4 o más líneas","15 o menos","15 o menos"
4228,"femenino","3","ij",45,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
4307,"masculino","4","ij",42,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
4328,"femenino","4","ij",42,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
4536,"femenino","4","ij",37,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
4573,"femenino","3","ij",39,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
4624,"femenino","d","ij",42,"region eje cafetero","medicina clinica","No especificado","Hospital / Clínica","1 libro","No especificado","15 o menos","Más de 45"
4632,"femenino","4","i",41,"region pacifico","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
4723,"masculino","4","i",39,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","2 líneas","Entre 31 y 45","Entre 16 y 30"
4814,"masculino","4","is",45,"region eje cafetero","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
4840,"femenino","4","i",46,"region caribe","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
4860,"masculino","4","ij",66,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
4869,"masculino","3","i",33,"region caribe","medicina basica","No especificado","Universidad","2 libros","3 líneas","Más de 45","Entre 16 y 30"
5046,"femenino","3","ij",34,"centro sur","medicina clinica","Actividades de docencia","Otras IE","No especificado","4 o más líneas","Más de 45","Entre 16 y 30"
5088,"masculino","3","i",66,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
5126,"femenino","4","ij",58,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","No especificado","Entre 31 y 45","Entre 16 y 30"
5134,"femenino","4","i",59,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","1 libro","3 líneas","Entre 16 y 30","Entre 16 y 30"
5192,"masculino","5","i",35,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
5240,"masculino","3","ij",63,"region eje cafetero","medicina basica","Actividades de administración","Universidad","No especificado","1 línea","Entre 16 y 30","Más de 45"
5260,"femenino","3","ij",27,"region caribe","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
5395,"masculino","3","ij",49,"centro oriente","medicina basica","Actividades de docencia","Universidad","2 libros","1 línea","15 o menos","Entre 31 y 45"
5810,"masculino","5","is",51,"centro sur","ciencias de la salud","No especificado","Centro de investigación","No especificado","2 líneas","Entre 16 y 30","Más de 45"
5924,"femenino","3","ij",37,"centro oriente","ciencias de la salud","Actividades de administración","Otras IE","No especificado","4 o más líneas","Más de 45","15 o menos"
5932,"femenino","3","ij",32,"centro oriente","ciencias de la salud","Actividades de administración","Universidad","No especificado","1 línea","Entre 16 y 30","15 o menos"
6123,"femenino","4","ij",46,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
6166,"femenino","3","ij",29,"region pacifico","medicina clinica","No especificado","No especificado","No especificado","3 líneas","Entre 16 y 30","Entre 16 y 30"
6602,"femenino","4","ij",38,"region caribe","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
7007,"masculino","d","ij",39,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
7210,"femenino","3","ij",37,"region eje cafetero","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
7795,"femenino","3","ij",38,"centro sur","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
7799,"masculino","d","ij",41,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
8051,"masculino","1","ij",25,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
8261,"masculino","1","ij",29,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
8290,"femenino","4","i",50,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
8320,"masculino","4","is",54,"distrito capital","ingenieria medica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
8346,"masculino","4","is",41,"distrito capital","ingenieria medica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
8621,"masculino","3","ij",52,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
9059,"femenino","4","is",55,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","3 líneas","Más de 45","Más de 45"
9067,"femenino","3","is",55,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
9075,"femenino","5","is",53,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 31 y 45","Más de 45"
9083,"femenino","3","ie",68,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","2 líneas","Entre 31 y 45","Más de 45"
9273,"femenino","d","ij",28,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
9415,"masculino","4","is",55,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
9445,"femenino","3","ij",48,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
9865,"femenino","4","i",46,"region caribe","biotecnologia en salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
10006,"masculino","4","is",51,"region eje cafetero","biotecnologia en salud","Actividades de administración","Universidad","2 libros","4 o más líneas","Más de 45","Entre 31 y 45"
10107,"masculino","d","ij",33,"region pacifico","medicina clinica","Actividades de docencia","Universidad","No especificado","1 línea","15 o menos","15 o menos"
10269,"femenino","3","ij",31,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
10324,"femenino","3","ij",71,"region caribe","ciencias de la salud","Actividades de administración","Universidad","2 libros","2 líneas","Entre 16 y 30","15 o menos"
10526,"masculino","3","i",27,"centro oriente","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","Entre 31 y 45"
10707,"masculino","3","is",53,"region caribe","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","No especificado","Entre 31 y 45","Más de 45"
11008,"femenino","3","ij",33,"centro oriente","ciencias de la salud","Actividades de administración","Universidad","No especificado","1 línea","Entre 16 y 30","Entre 16 y 30"
11169,"masculino","4","is",59,"region caribe","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","No especificado","Más de 45","Más de 45"
11185,"femenino","3","is",57,"region caribe","ciencias de la salud","No especificado","Universidad","1 libro","4 o más líneas","Más de 45","Más de 45"
11290,"femenino","2","i",51,"region pacifico","medicina clinica","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 16 y 30","15 o menos"
11332,"femenino","3","i",34,"centro oriente","ciencias de la salud","Actividades de administración","Universidad","No especificado","2 líneas","Entre 16 y 30","15 o menos"
11347,"masculino","4","is",62,"region pacifico","ciencias de la salud","Actividades de administración","Universidad","2 libros","4 o más líneas","Entre 16 y 30","Más de 45"
11410,"masculino","5","is",45,"region pacifico","ciencias de la salud","Actividades de docencia","Universidad","No especificado","4 o más líneas","Entre 16 y 30","Más de 45"
11606,"masculino","4","i",44,"region pacifico","biotecnologia en salud","Actividades de administración","Universidad","2 libros","4 o más líneas","Entre 16 y 30","Entre 16 y 30"
12050,"masculino","4","i",48,"region pacifico","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","2 líneas","Más de 45","Entre 16 y 30"
12679,"masculino","3","ij",42,"region caribe","ciencias de la salud","Actividades de docencia","Otras IE","1 libro","2 líneas","No especificado","15 o menos"
12916,"masculino","1","ij",56,"exterior","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
13064,"masculino","4","is",42,"region pacifico","ingenieria medica","Actividades de administración","Universidad","3 o más libros","2 líneas","Entre 16 y 30","Más de 45"
13214,"masculino","3","i",52,"region caribe","ciencias de la salud","Actividades de docencia","Universidad","No especificado","1 línea","15 o menos","15 o menos"
13504,"masculino","1","ij",50,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
13882,"masculino","4","ij",52,"region caribe","medicina clinica","Actividades de docencia","Otros lugares","No especificado","4 o más líneas","No especificado","Entre 16 y 30"
14260,"masculino","d","i",44,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
14321,"femenino","3","i",30,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
14398,"femenino","1","ij",26,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","4 o más líneas","15 o menos","15 o menos"
14447,"femenino","3","ij",44,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
14458,"masculino","3","i",39,"region eje cafetero","ciencias de la salud","No especificado","Universidad","No especificado","No especificado","Entre 16 y 30","Entre 16 y 30"
15078,"femenino","3","ij",36,"region eje cafetero","ciencias de la salud","Actividades de investigación","Universidad","3 o más libros","2 líneas","15 o menos","15 o menos"
15401,"masculino","d","ij",52,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
15552,"femenino","d","ij",47,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
15942,"femenino","4","is",39,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
16140,"masculino","3","ij",30,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
16189,"masculino","4","i",50,"region eje cafetero","medicina basica","Actividades de docencia","Universidad","No especificado","4 o más líneas","Entre 16 y 30","Entre 16 y 30"
16268,"masculino","5","is",55,"region pacifico","psicologia","Actividades de administración","Universidad","3 o más libros","2 líneas","Más de 45","Entre 31 y 45"
16509,"masculino","4","ij",51,"exterior","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
16601,"femenino","d","ij",32,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","1 línea","No especificado","15 o menos"
17241,"masculino","1","ij",56,"region caribe","medicina clinica","No especificado","No especificado","No especificado","1 línea","15 o menos","15 o menos"
17272,"femenino","3","ij",45,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","15 o menos","15 o menos"
17412,"masculino","4","is",54,"region caribe","medicina basica","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 31 y 45","Entre 16 y 30"
17538,"masculino","1","ij",47,"region caribe","otras ciencias medicas","No especificado","No especificado","No especificado","No especificado","15 o menos","15 o menos"
17594,"masculino","3","i",28,"region pacifico","ciencias de la salud","Actividades de docencia","Universidad","No especificado","2 líneas","Entre 31 y 45","Entre 16 y 30"
17639,"femenino","3","is",58,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
17655,"femenino","4","i",53,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
17698,"masculino","4","ij",55,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
17924,"femenino","3","ij",42,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
18186,"masculino","4","ij",37,"region pacifico","ingenieria medica","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 16 y 30","15 o menos"
18473,"femenino","4","ij",51,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
18848,"femenino","4","is",54,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
18864,"masculino","3","is",59,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
18872,"masculino","3","is",63,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
19184,"masculino","1","ij",25,"exterior","ciencias de la salud","Actividades de investigación","Otros lugares","No especificado","1 línea","No especificado","15 o menos"
19328,"masculino","4","ij",48,"centro oriente","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
19366,"masculino","3","ij",45,"region eje cafetero","ciencias de la salud","Actividades de administración","Otras IE","1 libro","4 o más líneas","Más de 45","No especificado"
19467,"masculino","d","ij",32,"region caribe","medicina clinica","No especificado","No especificado","No especificado","4 o más líneas","No especificado","Entre 16 y 30"
19704,"femenino","3","is",62,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
19712,"masculino","3","is",62,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
19771,"femenino","3","i",43,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
19810,"femenino","3","ij",31,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
20001,"masculino","5","is",59,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
20182,"femenino","3","ij",37,"region eje cafetero","ciencias de la salud","Actividades de docencia","Universidad","1 libro","1 línea","Entre 16 y 30","15 o menos"
20661,"masculino","1","ij",26,"region pacifico","medicina clinica","No especificado","No especificado","No especificado","4 o más líneas","No especificado","15 o menos"
20990,"femenino","3","ij",37,"region caribe","ciencias de la salud","Actividades de investigación","Otros lugares","1 libro","4 o más líneas","15 o menos","15 o menos"
21084,"femenino","d","ij",56,"no disponible","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
21591,"masculino","1","ij",28,"region eje cafetero","medicina basica","Actividades de docencia","Otras IE","No especificado","4 o más líneas","No especificado","15 o menos"
22609,"masculino","3","ij",60,"exterior","ciencias de la salud","Actividades de administración","Otros lugares","No especificado","No especificado","No especificado","Entre 31 y 45"
22655,"masculino","d","ij",34,"region del llano","medicina clinica","Actividades de docencia","Universidad","No especificado","1 línea","No especificado","15 o menos"
23159,"femenino","4","ij",40,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
23450,"masculino","3","ij",43,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
23574,"femenino","4","is",51,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","2 líneas","Entre 16 y 30","Más de 45"
23653,"femenino","4","ij",55,"region pacifico","ciencias de la salud","No especificado","No especificado","2 libros","No especificado","No especificado","15 o menos"
23655,"femenino","3","i",56,"region caribe","biotecnologia en salud","Actividades de administración","Universidad","2 libros","4 o más líneas","Entre 31 y 45","15 o menos"
23663,"masculino","4","i",48,"region caribe","medicina basica","Actividades de administración","Universidad","3 o más libros","4 o más líneas","Más de 45","Entre 16 y 30"
24418,"masculino","4","i",41,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
24653,"masculino","3","ij",40,"region caribe","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
24820,"masculino","3","ij",33,"region pacifico","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
25338,"femenino","3","ij",28,"region eje cafetero","psicologia","Actividades de docencia","Otras IE","No especificado","2 líneas","15 o menos","15 o menos"
25526,"femenino","4","is",56,"distrito capital","ingenieria medica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
25708,"masculino","2","ij",35,"centro oriente","ciencias de la salud","No especificado","No especificado","1 libro","1 línea","15 o menos","15 o menos"
25733,"masculino","1","ij",32,"centro oriente","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","Entre 16 y 30"
26000,"masculino","3","is",60,"distrito capital","biotecnologia en salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
26069,"masculino","4","is",41,"region eje cafetero","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
27707,"femenino","3","i",48,"region caribe","psicologia","Actividades de administración","Universidad","1 libro","4 o más líneas","Entre 31 y 45","15 o menos"
27768,"femenino","1","i",25,"region caribe","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
28070,"masculino","3","ij",47,"centro sur","ciencias de la salud","Actividades de administración","Universidad","No especificado","2 líneas","15 o menos","Entre 16 y 30"
28355,"femenino","4","ij",42,"region eje cafetero","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
28659,"masculino","3","ij",59,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
28851,"masculino","5","is",50,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
28878,"femenino","4","is",49,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
29106,"masculino","d","i",57,"region eje cafetero","medicina clinica","Actividades de administración","Universidad","3 o más libros","4 o más líneas","15 o menos","Más de 45"
29114,"femenino","4","is",59,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
29220,"femenino","4","i",56,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
29270,"masculino","3","is",58,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
29600,"femenino","3","ij",30,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
29823,"masculino","4","ij",45,"region eje cafetero","medicina basica","Actividades de administración","Universidad","1 libro","4 o más líneas","15 o menos","Entre 31 y 45"
29831,"femenino","4","i",41,"region eje cafetero","medicina basica","Actividades de administración","Universidad","No especificado","2 líneas","15 o menos","Entre 31 y 45"
29866,"masculino","4","is",52,"region eje cafetero","medicina basica","Actividades de docencia","Universidad","No especificado","4 o más líneas","Más de 45","Entre 31 y 45"
29947,"masculino","d","ij",60,"region eje cafetero","medicina clinica","No especificado","Universidad","2 libros","2 líneas","15 o menos","Más de 45"
30018,"masculino","d","ij",45,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
30144,"femenino","4","ij",32,"exterior","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
30147,"masculino","3","is",62,"region eje cafetero","medicina clinica","No especificado","Otros lugares","3 o más libros","1 línea","Entre 31 y 45","Más de 45"
30155,"masculino","4","is",50,"region eje cafetero","medicina clinica","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 31 y 45","Más de 45"
30617,"masculino","d","ij",50,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
30821,"masculino","4","ij",48,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","15 o menos","Más de 45"
30872,"masculino","4","ij",39,"exterior","ciencias de la salud","No especificado","No especificado","No especificado","3 líneas","No especificado","15 o menos"
31492,"masculino","5","ij",43,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
31649,"femenino","1","ij",26,"region caribe","ciencias de la salud","No especificado","No especificado","No especificado","4 o más líneas","No especificado","15 o menos"
32093,"masculino","4","ij",59,"region eje cafetero","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
32107,"femenino","4","i",53,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
32310,"masculino","4","ij",58,"region eje cafetero","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
32328,"masculino","4","is",63,"region eje cafetero","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
32344,"masculino","4","ij",53,"region eje cafetero","psicologia","Actividades de administración","Universidad","1 libro","2 líneas","Entre 16 y 30","15 o menos"
33740,"femenino","4","is",59,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","3 líneas","Entre 31 y 45","Más de 45"
33766,"femenino","4","ij",52,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","2 líneas","Entre 16 y 30","Entre 31 y 45"
33812,"masculino","5","is",57,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","4 o más líneas","Entre 16 y 30","Más de 45"
